,precision,recall,f1-score,support
0,1.0,0.9855769230769231,0.9927360774818402,416.0
1,0.9844961240310077,0.9769230769230769,0.9806949806949806,130.0
2,1.0,0.9482758620689655,0.9734513274336283,58.0
3,0.9807692307692307,0.9839228295819936,0.9823434991974318,311.0
4,1.0,1.0,1.0,6.0
5,0.9637681159420289,0.9851851851851852,0.9743589743589742,135.0
6,1.0,0.972972972972973,0.9863013698630138,37.0
7,0.9718875502008032,0.9918032786885246,0.9817444219066938,244.0
8,0.968421052631579,0.9787234042553191,0.9735449735449735,94.0
9,0.9130434782608695,0.9333333333333333,0.9230769230769231,45.0
micro avg,0.9817073170731707,0.9817073170731707,0.9817073170731707,1476.0
macro avg,0.978238555183552,0.9756716866086295,0.9768252547558459,1476.0
weighted avg,0.9819590245687934,0.9817073170731707,0.9817523720763279,1476.0
samples avg,0.9817073170731707,0.9817073170731707,0.9817073170731707,1476.0
