,precision,recall,f1-score,support
0,0.9957446808510638,0.997867803837953,0.9968051118210862,469.0
1,0.9763779527559056,0.9763779527559056,0.9763779527559056,127.0
2,1.0,0.9649122807017544,0.9821428571428572,57.0
3,0.9814814814814815,0.9814814814814815,0.9814814814814815,270.0
4,1.0,1.0,1.0,8.0
5,0.9851851851851852,0.9708029197080292,0.9779411764705882,137.0
6,0.9583333333333334,1.0,0.9787234042553191,23.0
7,0.9826839826839827,0.978448275862069,0.980561555075594,232.0
8,0.9514563106796117,0.98989898989899,0.9702970297029703,99.0
9,0.9622641509433962,0.9444444444444444,0.9532710280373832,54.0
micro avg,0.983739837398374,0.983739837398374,0.983739837398374,1476.0
macro avg,0.9793527077913959,0.9804234148690627,0.9797601596743186,1476.0
weighted avg,0.9838451322812296,0.983739837398374,0.9837389173494078,1476.0
samples avg,0.983739837398374,0.983739837398374,0.983739837398374,1476.0
