,precision,recall,f1-score,support
0,0.9953703703703703,0.9885057471264368,0.9919261822376009,435.0
1,0.9583333333333334,0.9829059829059829,0.970464135021097,117.0
2,0.9473684210526315,0.9818181818181818,0.9642857142857142,55.0
3,0.9710144927536232,0.9816849816849816,0.97632058287796,273.0
4,1.0,1.0,1.0,11.0
5,0.9858156028368794,0.9652777777777778,0.9754385964912281,144.0
6,1.0,0.9259259259259259,0.9615384615384615,27.0
7,0.9772727272727273,0.9735849056603774,0.9754253308128544,265.0
8,0.9595959595959596,0.9595959595959596,0.9595959595959596,99.0
9,0.9411764705882353,0.96,0.9504950495049505,50.0
micro avg,0.9776422764227642,0.9776422764227642,0.9776422764227642,1476.0
macro avg,0.9735947377803761,0.9719299462495623,0.9725490012365828,1476.0
weighted avg,0.977843410471504,0.9776422764227642,0.9776697750536256,1476.0
samples avg,0.9776422764227642,0.9776422764227642,0.9776422764227642,1476.0
