,id,player_name,team_title,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
14436,7450,Maksim Volodko,Arsenal Tula,S,4,102,0,0.059187863022089,0,0.1323871053755283,2,2,0,0,0,0.059187863022089,0.2401638962328434,0.0653104335069656
14437,7450,Maksim Volodko,FC Tambov,D,4,318,0,0.0,0,0.2566321939229965,0,2,1,0,0,0.0,0.2939744293689728,0.1036059707403183
14438,7450,Maksim Volodko,Arsenal Tula,D S,2,59,0,0.048347994685173,0,0.0,1,0,0,0,0,0.048347994685173,0.0822617560625076,0.0339137613773345
