,id,player_name,team_title,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
261,3695,Adama Traoré,Monaco,M S,5,283,2,1.2329853419214487,0,0.1135458052158355,6,1,1,0,2,1.2329853419214487,1.51852604188025,0.2855407074093818
262,900,Adama Traoré,Wolverhampton Wanderers,D F M S,29,879,1,1.2554869428277016,1,2.204887079074979,19,17,1,0,1,1.2554869428277016,5.700921595096588,2.4375135712325573
263,900,Adama Traoré,Middlesbrough,F M S,27,1530,0,0.9504911378026007,1,1.444280218333006,11,18,1,0,0,0.9504911378026007,3.723788846284151,1.4596284180879593
264,3695,Adama Traoré,Monaco,M S,6,369,0,0.5050214976072311,1,0.3656401857733726,5,2,1,0,0,0.5050214976072311,1.1485025882720947,0.3992370702326298
265,900,Adama Traoré,Wolverhampton Wanderers,D F M S,37,2596,4,3.7073373962193727,9,7.551031334325671,43,49,1,0,4,3.7073373962193727,15.272295154631138,5.655398900620639
266,3695,Adama Traoré,Monaco,F M S,6,238,0,0.2410725522786378,1,0.3974675461649894,6,6,0,0,0,0.2410725522786378,1.1316189840435982,0.8681861981749535
267,900,Adama Traoré,Wolverhampton Wanderers,D F M S,37,2630,2,2.0761541817337275,2,5.271671320311725,43,55,4,0,2,2.0761541817337275,9.475093045271931,3.006398070603609
268,3695,Adama Traoré,"Metz,Monaco",F M S,17,1042,1,1.3617976680397987,4,2.2766423728317022,17,36,1,0,1,1.3617976680397987,3.3497427916154265,1.85851018037647
269,900,Adama Traoré,Wolverhampton Wanderers,F M S,15,933,0,2.290028974413872,0,0.8267365768551826,21,15,0,0,0,2.290028974413872,3.702922083437443,0.9076889548450708
270,3695,Adama Traoré,Monaco,M S,3,189,3,0.953999489545822,0,0.0163789857178926,6,1,1,0,3,0.953999489545822,1.8567571341991425,0.9848551023751496
271,3695,Adama Traoré,Lille,F M S,20,1029,2,0.8642399292439222,0,0.8107455875724554,18,15,3,0,2,0.8642399292439222,2.851864218711853,1.6265936847776177
272,900,Adama Traoré,Aston Villa,S,10,167,0,0.1319373659789562,1,0.0841938033699989,2,1,1,0,0,0.1319373659789562,0.3410760425031185,0.1249448731541633
