,id,player_name,team_title,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
22159,2288,Theo Bongonda,Celta Vigo,F M S,23,1198,2,2.508799724280834,1,1.838715136051178,18,10,5,0,2,2.508799724280834,5.9539317432791,2.651502212509513
22160,2288,Theo Bongonda,Celta Vigo,S,8,120,1,0.5146549344062805,1,0.2209596931934356,1,2,0,0,1,0.5146549344062805,0.3048181608319282,0.0838584750890731
22161,2288,Theo Bongonda,Celta Vigo,F M S,30,2176,1,2.4298716820776463,3,2.289636444300413,32,19,3,0,1,2.4298716820776463,7.876505127176642,3.8507424499839535
