,id,player_name,team_title,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
2074,1232,Angelo Palombo,Sampdoria,D M S,36,2937,1,1.091130156069994,3,1.6032379949465394,13,39,7,0,0,0.3298313170671463,6.344487180933356,5.763077735900879
2075,1232,Angelo Palombo,Sampdoria,D S,4,215,0,0.1793931871652603,0,0.0,2,0,1,0,0,0.1793931871652603,0.2670971043407917,0.2670971043407917
2076,1232,Angelo Palombo,Sampdoria,M S,7,378,0,0.0107846586033701,0,0.0,1,0,0,0,0,0.0107846586033701,0.044584110379219,0.0337994517758488
