,id,player_name,team_title,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
18269,6182,Pasquale Schiattarella,SPAL 2013,M S,28,1847,0,0.5448810989037156,4,1.8018976300954817,14,37,10,0,0,0.5448810989037156,5.574231546372175,4.525077752768993
18270,6182,Pasquale Schiattarella,SPAL 2013,M S,31,1990,1,0.6450901962816715,4,4.247993189841509,19,41,12,0,1,0.6450901962816715,5.5675200605764985,2.8399045458063483
18271,6182,Pasquale Schiattarella,Benevento,M S,29,2257,1,0.6014224030077457,1,2.2552982084453106,11,25,13,1,1,0.6014224030077457,8.082547255791724,6.711748887784779
