,precision,recall,f1-score,support
0,0.9930875576036866,0.9908045977011494,0.9919447640966628,435.0
1,0.9586776859504132,0.9914529914529915,0.9747899159663866,117.0
2,0.9642857142857143,0.9818181818181818,0.972972972972973,55.0
3,0.9745454545454545,0.9816849816849816,0.9781021897810219,273.0
4,1.0,1.0,1.0,11.0
5,0.9858156028368794,0.9652777777777778,0.9754385964912281,144.0
6,1.0,0.9259259259259259,0.9615384615384615,27.0
7,0.9770992366412213,0.9660377358490566,0.9715370018975331,265.0
8,0.9797979797979798,0.9797979797979798,0.9797979797979798,99.0
9,0.9423076923076923,0.98,0.9607843137254902,50.0
micro avg,0.9796747967479674,0.9796747967479674,0.9796747967479674,1476.0
macro avg,0.9775616923969042,0.9762800172008044,0.9766906196267737,1476.0
weighted avg,0.979843583553011,0.9796747967479674,0.9796768437799758,1476.0
samples avg,0.9796747967479674,0.9796747967479674,0.9796747967479674,1476.0
