,id,player_name,team_title,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
9259,8151,Hianga&#039;a M&#039;Bock,Brest,M S,2,141,1,0.1687941029667854,0,0.0271687638014554,4,1,0,0,1,0.1687941029667854,0.3550578355789184,0.1590949594974517
9260,8151,Hianga&#039;a M&#039;Bock,Brest,M S,12,439,0,0.1353933252394199,0,0.1181472428143024,4,2,1,0,0,0.1353933252394199,2.160653367638588,2.0398115143179893
9261,8151,Hianga&#039;a M&#039;Bock,Brest,M S,10,698,0,0.2256807340309023,0,0.0148120075464248,6,1,3,0,0,0.2256807340309023,1.023487157188356,0.903918265365064
