,id,player_name,team_title,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
21885,2413,Steven N&#039;Zonzi,Sevilla,M S,35,3068,2,2.668775986880064,3,1.9905105829238887,32,21,6,0,2,2.668775986880064,16.1324826432392,13.6634833663702
21886,2413,Steven N&#039;Zonzi,Sevilla,M S,28,1845,3,1.933682294562459,1,1.200838688760996,19,12,2,1,3,1.933682294562459,5.647220571525395,4.554994767531753
21887,2413,Steven N&#039;Zonzi,Sevilla,M S,27,2215,1,1.6382908122614026,2,1.192477609962225,22,13,2,0,1,1.6382908122614026,8.484016237780452,6.7372923120856285
21888,2413,Steven N&#039;Zonzi,Stoke,M,38,3381,3,2.544648644514382,1,1.787154513411224,47,34,2,0,3,2.544648644514382,9.022655447013676,6.257574141956866
21889,2413,Steven N&#039;Zonzi,Rennes,M S,34,2908,1,1.9482252346351745,1,0.7506036255508661,20,12,8,1,1,1.9482252346351745,12.484360691159964,11.255303574725986
21890,2413,Steven N&#039;Zonzi,Roma,M S,30,2619,1,2.011138468980789,2,1.9364925948902965,22,24,7,0,1,2.011138468980789,13.432209745049477,11.38735686801374
21891,2413,Steven N&#039;Zonzi,Rennes,M S,5,383,0,0.059369433671236,0,0.0,2,0,0,0,0,0.059369433671236,2.186039015650749,2.168428100645542
