,precision,recall,f1-score,support
0,1.0,0.9379310344827586,0.9679715302491103,435.0
1,0.9910714285714286,0.9487179487179487,0.9694323144104804,117.0
2,0.9464285714285714,0.9636363636363636,0.9549549549549549,55.0
3,0.8888888888888888,0.9963369963369964,0.9395509499136442,273.0
4,1.0,1.0,1.0,11.0
5,0.9444444444444444,0.9444444444444444,0.9444444444444444,144.0
6,0.9310344827586207,1.0,0.9642857142857143,27.0
7,0.9734848484848485,0.969811320754717,0.9716446124763705,265.0
8,0.95,0.9595959595959596,0.9547738693467336,99.0
9,0.9565217391304348,0.88,0.9166666666666666,50.0
micro avg,0.9579945799457995,0.9579945799457995,0.9579945799457995,1476.0
macro avg,0.9581874403707238,0.9600474067969189,0.958372505674812,1476.0
weighted avg,0.9604763537111005,0.9579945799457995,0.9582578667235426,1476.0
samples avg,0.9579945799457995,0.9579945799457995,0.9579945799457995,1476.0
